Province,Date,Item,Count
天津市,2020-03-27,confirmed,152
天津市,2020-03-26,confirmed,147
天津市,2020-03-24,confirmed,142
天津市,2020-03-23,confirmed,141
天津市,2020-03-20,confirmed,137
天津市,2020-03-15,confirmed,136
天津市,2020-03-12,confirmed,136
天津市,2020-03-10,confirmed,136
天津市,2020-03-09,confirmed,136
天津市,2020-03-05,confirmed,136
天津市,2020-03-03,confirmed,136
天津市,2020-03-01,confirmed,136
天津市,2020-02-29,confirmed,136
天津市,2020-02-28,confirmed,136
天津市,2020-02-27,confirmed,135
天津市,2020-02-26,confirmed,135
天津市,2020-02-25,confirmed,135
天津市,2020-02-24,confirmed,135
天津市,2020-02-23,confirmed,135
天津市,2020-02-22,confirmed,133
天津市,2020-02-21,confirmed,132
天津市,2020-02-20,confirmed,130
天津市,2020-02-19,confirmed,128
天津市,2020-02-18,confirmed,127
天津市,2020-02-17,confirmed,125
天津市,2020-02-16,confirmed,124
天津市,2020-02-15,confirmed,120
天津市,2020-02-14,confirmed,119
天津市,2020-02-13,confirmed,112
天津市,2020-02-12,confirmed,106
天津市,2020-02-11,confirmed,100
天津市,2020-02-10,confirmed,91
天津市,2020-02-09,confirmed,88
天津市,2020-02-08,confirmed,81
天津市,2020-02-07,confirmed,79
天津市,2020-02-06,confirmed,69
天津市,2020-02-05,confirmed,69
天津市,2020-02-04,confirmed,60
天津市,2020-02-03,confirmed,48
天津市,2020-02-02,confirmed,45
天津市,2020-02-01,confirmed,34
天津市,2020-01-31,confirmed,31
天津市,2020-01-30,confirmed,28
天津市,2020-01-29,confirmed,25
天津市,2020-01-28,confirmed,23
天津市,2020-01-27,confirmed,17
天津市,2020-01-26,confirmed,1
天津市,2020-01-25,confirmed,9
天津市,2020-01-24,confirmed,4
天津市,2020-01-22,confirmed,2
香港,2020-05-24,confirmed,1065
香港,2020-05-22,confirmed,1063
香港,2020-05-18,confirmed,1055
香港,2020-05-17,confirmed,1052
香港,2020-05-15,confirmed,1051
香港,2020-05-14,confirmed,1051
香港,2020-05-13,confirmed,1050
香港,2020-05-12,confirmed,1047
